사용일자,자치구,승차총승객수
20240217,관악구,138892
20240217,광진구,59807
20240217,구로구,92546
20240217,금천구,42641
20240217,노원구,134521
20240217,도봉구,78163
20240217,동대문구,81823
20240217,동작구,74433
20240217,마포구,255434
20240217,서대문구,81317
20240217,서초구,142023
20240217,성동구,96284
20240217,성북구,36117
20240217,송파구,138789
20240217,양천구,26242
20240217,영등포구,233535
20240217,은평구,100212
20240217,종로구,209807
20240217,중구,184229
20240217,중랑구,73484
20240218,강남구,151708
20240218,강동구,47406
20240218,강북구,29288
20240218,강서구,100596
20240218,관악구,96229
20240218,광진구,42757
20240218,구로구,64370
20240218,금천구,28399
20240218,노원구,94343
20240218,도봉구,57303
20240218,동대문구,58343
20240218,동작구,50591
20240218,마포구,189828
20240218,서대문구,56754
20240218,서초구,110741
20240218,성동구,67374
20240218,성북구,26920
20240218,송파구,92723
20240218,양천구,17694
20240218,영등포구,169371
20240218,은평구,70252
20240218,종로구,135273
20240218,중구,126009
20240218,중랑구,51022
20240219,강남구,401651
20240219,강동구,93201
20240219,강북구,43904
20240219,강서구,181687
20240219,관악구,146940
20240219,광진구,60158
20240219,구로구,125613
20240219,금천구,102379
20240219,노원구,155743
20240219,도봉구,86809
20240219,동대문구,96145
20240219,동작구,87025
20240219,마포구,255361
20240219,서대문구,89905
20240219,서초구,149702
20240219,성동구,118774
20240219,성북구,47090
20240219,송파구,190991
20240219,양천구,35264
20240219,영등포구,319243
20240219,은평구,118595
20240219,종로구,229751
20240219,중구,260944
20240219,중랑구,86531
20240220,강남구,424178
20240220,강동구,97280
20240220,강북구,47076
20240220,강서구,192702
20240220,관악구,155988
20240220,광진구,62475
20240220,구로구,131072
20240220,금천구,105685
20240220,노원구,166325
20240220,도봉구,93189
20240220,동대문구,103816
20240220,동작구,91290
20240220,마포구,271094
20240220,서대문구,96362
20240220,서초구,157912
20240220,성동구,125898
20240220,성북구,48270
20240220,송파구,201602
20240220,양천구,37258
20240220,영등포구,335924
20240220,은평구,125708
20240220,종로구,250064
20240220,중구,275838
20240220,중랑구,91195
20240221,강남구,416215
20240221,강동구,96036
20240221,강북구,45723
20240221,강서구,186307
20240221,관악구,153809
20240221,광진구,61346
20240221,구로구,127093
20240221,금천구,102437
20240221,노원구,160854
20240221,도봉구,88820
20240221,동대문구,103560
20240221,동작구,89416
20240221,마포구,266148
20240221,서대문구,92006
20240221,서초구,154506
20240221,성동구,122423
20240221,성북구,47854
20240221,송파구,197543
20240221,양천구,36245
20240221,영등포구,331681
20240221,은평구,122239
